company_name,url,address,phone,maps_url,reason
株式会社ビジネス・ロジック・ジャパン,https://bslg.jp/,山口県山口市小郡下郷1487-1,083-976-5215,,existing_domain
株式会社object,https://studio-object.com/,島根県松江市上乃木4-23-48,0852-25-4671,,existing_domain
TEC DESIGN G.K.,https://www.tec-d.com/,山口県周南市,, ,existing_domain
株式会社ティーエム21,https://www.tm-21.co.jp/,島根県松江市北陵町52-2 ゆめっくす北陵2階14号室,0852-60-6810,,existing_domain
株式会社イープレス,https://www.e-press.co.jp/,愛媛県松山市美沢1丁目7番地5,089-917-7656,,existing_name
有限会社Willさんいん,https://www.will3in.co.jp/,島根県松江市朝日町498 松江センタービル8F,0852-28-6220,,existing_domain
