company_name,url,address,phone,maps_url
ピー・プラス,https://p-plus.biz/,長野県長野市柳町72-15,, 
有限会社福井印刷,https://www.fukui-print.com/,鳥取県鳥取市宮長21-4,0857-37-4669,
株式会社なかたに印刷,https://www.nakatani-p.co.jp/,富山県富山市,, 
とうざわ印刷工芸株式会社,https://www.touzawa.co.jp/,富山県富山市婦中町広田5210,076-466-2711,
株式会社アイテック,https://www.touzawa.co.jp/,富山県富山市神通本町1-8-13,076-443-0922,
株式会社トーザワ,https://www.touzawa.co.jp/,富山県高岡市佐野1386-1,0766-24-2501,
株式会社カラフルカンパニー,https://www.colorfulcompany.co.jp/,石川県金沢市玉鉾3-29,076-292-1111,
能登印刷株式会社,https://www.notoinsatu.co.jp/,石川県金沢市武蔵町7-10,076-233-2550,
株式会社ライフライン,https://lifeline-net.jp/,石川県金沢市,, 
株式会社ファーストブレーン,https://www.1st-brain.jp/,福井県福井市,, 
