company_name,url,address,phone,maps_url,status
株式会社YUIDEA,https://yuidea.co.jp/,"〒107-0062 東京都港区南青山1-1-1 新青山ビル東館6階",,,
株式会社日宣,https://www.nissenad.co.jp/,"〒101-0048 東京都千代田区神田司町2-6-5 日宣神田第2ビル",03-5209-7222,,
株式会社Union,https://union-company.jp/,"〒160-0022 東京都新宿区新宿4丁目1-6 JR新宿ミライナタワー22階",03-5944-0940,,
株式会社ガイアコミュニケーションズ,https://gaia-ad.co.jp/,"〒102-0094 東京都千代田区紀尾井町4-1 新紀尾井町ビル3F",03-6862-8111,,
株式会社カラフルカンパニー,https://www.colorfulcompany.co.jp/,"〒921-8002 石川県金沢市玉鉾3-29",076-292-1111,,
株式会社一広グループホールディングス,https://www.ikko.co.jp/,"〒101-0052 東京都千代田区神田小川町1-11 千代田小川町クロスタ",03-3294-0111,,
株式会社イオレ,https://www.eole.co.jp/,"〒103-0003 東京都中央区日本橋横山町6-16 RONDO日本橋ビル4F",050-5799-9400,,
