"マッチ種別","幹事_行番号","企業名","エリア","代表者名","幹事_URL","一致シート","提案側URL","送信日","送信結果","送信不可理由"
"企業名のみ","871","株式会社エクシードコンサルティング","東京都","山下普之","https://exconsulting.co.jp/web-team/","Webマーケティング","","","",""
"企業名のみ","891","株式会社SAN","東京都","黒田晃生","https://sancorp.co.jp/","251127","","","",""
"企業名のみ","897","株式会社イークル","東京都","金城 宏樹","https://www.e-cle.co.jp/","Webマーケティング","","","×","お控えください"
"企業名のみ","900","株式会社EXIDEA","東京都","小川卓真","https://exidea.co.jp/","Webマーケティング","","","",""
"企業名のみ","902","miraiz株式会社","東京都","近藤良伯","https://miraiz-inc.co.jp/","Webマーケティング","","","",""
"企業名のみ","916","株式会社eclore","東京都","宮島 隆","https://rank-quest.jp/","Webマーケティング","","","×","対応できません"
"企業名のみ","932","ナナコジャパン合同会社","東京都","","https://nanacojp.com/work/","Webマーケティング","","","",""
"企業名のみ","1025","株式会社Tenmu","東京都","中塩浩太","https://tenmu.jp/","Webマーケティング","","","×","営業メール"
"企業名のみ","1063","株式会社SPC","東京都","津田 東洋","https://spc-jpn.co.jp/works/","Webマーケティング","","","",""
"企業名のみ","1078","株式会社コタム","東京都","田村 巧次","http://co-tam.co.jp/","Webマーケティング","","","",""
"企業名のみ","1082","株式会社GENESIS","東京都","酒井 聖之佑","https://genesis-cs.firebaseapp.com/","251222","","","",""
"企業名のみ","1083","株式会社フルスピード","東京都","友松 功一","https://www.fullspeed.co.jp/","Webマーケティング","","","",""
"企業名のみ","1086","株式会社メディックス","東京都","田中 正則","https://www.medix-inc.co.jp/service/creative/","Webマーケティング","","","",""
"企業名のみ","1091","株式会社Wacworks","東京都","舟瀬　悠","https://wac-works.jp/","251127","","","",""
"企業名のみ","1094","株式会社エールデザイン","東京都","鈴木 弘伸","https://ailedesign.co.jp/works/","Webマーケティング","","","",""
"企業名のみ","1100","株式会社BOEL","東京都","田澤 鉄平","https://boel.jp/works/","Webマーケティング","","","",""
"企業名のみ","1114","株式会社ワンノブアカインド","東京都","川島 直也","https://www.one-of-a-kind.co.jp/production/","Webマーケティング","","","×","営業活動, 営業以外"
"企業名のみ","1119","株式会社リーディング・ソリューション","東京都","中田 義将","http://www.leading-solutions.co.jp/case/","Webマーケティング","","","",""
"企業名のみ","1127","サヴァリ株式会社","東京都","福田 泰志","https://savari.jp/business/production/","Webマーケティング","","","",""
"企業名のみ","1150","株式会社OMOKAJI","東京都","立川哲","https://omokaji-web.co.jp/category/case-study/","Webマーケティング","","","×","営業目的"
"企業名のみ","1156","イーモジャパン株式会社","東京都","水谷　幸彦","https://www.eeeemo.co.jp/works/","Webマーケティング","","","",""
"企業名のみ","1163","株式会社ティーエルマーケティング","東京都","大島積生","https://tl-marketing.jp/hp/voice/","Webマーケティング","","","",""
"企業名のみ","1164","株式会社レジット","東京都","浅井脩太郎","https://www.legit.co.jp/work","Webマーケティング","","","",""
"企業名のみ","1170","株式会社エートゥジェイ","東京都","飛鷹 祐哉","https://www.atoj.co.jp/works","Webマーケティング","","","",""
"企業名のみ","1177","XINOBIX株式会社","東京都","長屋智揮","https://xinobix.jp/case/","Webマーケティング","","","",""
"企業名のみ","1222","360株式会社","東京都","伊藤 智一","https://www.360vr.co.jp/client.html","Webマーケティング","","","×","業者様"
"企業名のみ","1236","株式会社Five","東京都","小池 拓人","https://five-inc.co.jp/","Webマーケティング","","","",""
"企業名のみ","1284","株式会社ゴマシオカンパニー","東京都","山崎 準也","https://cresai.nashplan.jp/work/","251127","","","",""
"企業名のみ","1298","株式会社グローブテイルズ","東京都","古志 浩之","https://globetails.jp/","Webマーケティング","","","",""
"企業名のみ","1322","株式会社Bridge","東京都","松本雄介","https://www.bridge-world.jp/works","251127","","","",""
"企業名のみ","1330","株式会社エレクトロドリーム","東京都","務台 祐太郎","http://www.electrodream.jp/","251127","","","",""
"企業名のみ","1332","株式会社Speee","東京都","大塚 英樹","https://speee.jp/","Webマーケティング","","","×","ご遠慮ください"
"企業名のみ","1341","株式会社LINICA","東京都","江川 英明","https://linica.jp/works/","Webマーケティング","","","×","お断りしております, セールスは"
"企業名のみ","1355","Limelight株式会社","東京都","井上 航輔","https://lime-light.co.jp/service/","Webマーケティング","","","",""
"企業名のみ","1411","株式会社イデア・レコード","東京都","柏田康雄","https://idearecord.co.jp/","Webマーケティング","","","",""
"企業名のみ","1422","アディッシュ株式会社","東京都","江戸 浩樹","https://frontsupport.jp/socialmedia/","Webマーケティング","","","×","営業活動"
