company_name,url,contact_url,decision,reason
DAIKEN株式会社,https://www.daiken.jp/,https://www.daiken.jp/reform/,accept,no_live_or_master_match
ONEデザインズ株式会社,https://www.koyou-onesd.co.jp/,https://www.koyou-onesd.co.jp/contactus/,accept,no_live_or_master_match
SUMINOE株式会社,https://suminoe.jp/,https://suminoe.jp/pages/contact,review,jpx_name_requires_official_domain_check
TOTO株式会社,https://jp.toto.com/,https://jp.toto.com/reform/,review,jpx_name_requires_official_domain_check
みはし株式会社,https://mihasi.co.jp/,https://mihasi.co.jp/custom-products/,exclude,existing_sheet_match
アスワン株式会社,https://www.aswan.co.jp/,https://www.aswan.co.jp/productinformation/seriesintroduction/curtainseries/,accept,no_live_or_master_match
クリナップ株式会社,https://cleanup.jp/,https://cleanup.jp/select/reform/,review,jpx_name_requires_official_domain_check
シンコールインテリア株式会社,https://sincol-group.jp/index.html,https://sincol-group.jp/corporate_information/,exclude,existing_sheet_match
セキスイデザインワークス株式会社,https://sekisui-designworks.co.jp/,https://sekisui-designworks.co.jp/contact/,accept,no_live_or_master_match
タカラスタンダード株式会社,https://www.takara-standard.co.jp:443/,https://www.takara-standard.co.jp:443/reform/,review,jpx_name_requires_official_domain_check
トキワ工業株式会社,http://www.tokiwa.net/,http://www.tokiwa.net/form/mypage/,accept,no_live_or_master_match
ドリームベッド株式会社,https://www.dreambed.jp/,https://www.dreambed.jp/inquiry/,review,jpx_name_requires_official_domain_check
ファインオーナメント株式会社,https://sokk.co.jp/,https://sokk.co.jp/contact/,accept,no_live_or_master_match
リック株式会社,https://www.lic-net.jp/,https://www.lic-net.jp/,exclude,existing_sheet_match
リリカラ株式会社,https://www.lilycolor.co.jp:443/,https://www.lilycolor.co.jp:443/interior/contact/index_consumer.html,review,jpx_name_requires_official_domain_check
ルノン株式会社,https://ssl.runon.co.jp/,https://ssl.runon.co.jp/reformpro/,accept,no_live_or_master_match
三井ホーム株式会社,https://www.mitsuihome.co.jp/,https://www.mitsuihome.co.jp/information/,accept,no_live_or_master_match
上野株式会社,https://interior-ueno.co.jp/,https://interior-ueno.co.jp/inquery,accept,no_live_or_master_match
住友不動産シスコン株式会社,https://www.sumitomo-syscon.com,https://www.sumitomo-syscon.com/contact,accept,no_live_or_master_match
住友林業ホームテック株式会社,https://www.sumirin-ht.co.jp/,https://www.sumirin-ht.co.jp/reform/about/,accept,no_live_or_master_match
内藤家具インテリア工業株式会社,https://naitokag.co.jp/,https://naitokag.co.jp/contact,accept,no_live_or_master_match
日本フクラ株式会社,https://hukla.co.jp/,https://hukla.co.jp/form_request,accept,no_live_or_master_match
日本ベッド製造株式会社,https://www.nihonbed.com/,https://www.nihonbed.com/information/,accept,no_live_or_master_match
旭化成ホームズ株式会社,https://www.asahi-kasei.co.jp:443/j-koho/index.html/,https://www.asahi-kasei.co.jp:443/j-koho/contact/index.html/,accept,no_live_or_master_match
柏木工株式会社,https://www.kashiwa.gr.jp/,https://www.kashiwa.gr.jp/corporation-contact/,accept,no_live_or_master_match
株式会社Ginza,https://r-ginza.jp/,https://r-ginza.jp/inquiry/,accept,no_live_or_master_match
株式会社LIXIL,https://www.lixil.co.jp/,https://www.lixil.co.jp/reform/shop/,review,jpx_name_requires_official_domain_check
株式会社OKUTA,https://www.okuta.com/,https://www.okuta.com/contact/inquiry/,accept,no_live_or_master_match
株式会社アイワンズ,https://iones.co.jp/,https://iones.co.jp/contact,accept,no_live_or_master_match
株式会社エーディコア・ディバイズ,https://www.adcore.co.jp/,https://www.adcore.co.jp/showroom/form.php,accept,no_live_or_master_match
株式会社カンディハウス,https://condehouse.co.jp/,https://condehouse.co.jp/pages/contact_top,accept,no_live_or_master_match
株式会社サンゲツ,https://www.sangetsu.co.jp:443/,https://www.sangetsu.co.jp:443/style/reform_choose01.html,review,jpx_name_requires_official_domain_check
株式会社システムズヤジマ,https://yjmg.co.jp/,https://yjmg.co.jp/support/faq/,accept,no_live_or_master_match
株式会社ジアス,https://www.jias.co.jp/,https://www.jias.co.jp/contact?hsLang=ja,accept,no_live_or_master_match
株式会社スプリングヴァレー,https://s-v-c.com/,https://s-v-c.com/contact/,accept,no_live_or_master_match
株式会社スリーエスコーポレーション,http://www.3s-corp.co.jp/,http://www.3s-corp.co.jp/contact/,accept,no_live_or_master_match
株式会社ゼロファーストデザイン,https://01st.com/,https://01st.com/contact,accept,no_live_or_master_match
株式会社タマイチ,https://tama1.co.jp/,https://tama1.co.jp/pages/7/,accept,no_live_or_master_match
株式会社ダニエル,https://www.daniel.co.jp/,https://www.daniel.co.jp/catalog_form.html,accept,no_live_or_master_match
株式会社ツカサディザインコマース,https://tsukasa-dc.jp/,https://tsukasa-dc.jp/contact/,accept,no_live_or_master_match
